Parser Accuracy Report
Generated: 2025-06-10T14:55:48Z
Parser Version: current

OVERALL ACCURACY
Overall: 70.8%

CATEGORY BREAKDOWN
  error-cases: 57.1%
  typed-perl: 53.8%
  untyped-perl: 74.1%
  : 100.0%

FEATURE BREAKDOWN
  when: 55.1%
  depth: 66.1%
  until: 66.1%
  try_catch: 66.1%
  base: 20.0%
  tree: 66.1%
  for: 66.1%
  not: 90.7%
  chain: 66.7%
  modules: 15.4%
  unary_operator: 90.9%
  constructor: 63.6%
  malformed-types: 100.0%
  right_shift: 90.6%
  multi-way-unions: 37.5%
  built-in-types: 22.2%
  bitwise: 91.9%
  Tuple: 88.9%
  repetition: 90.7%
  require: 20.0%
  package-qualification: 14.3%
  perl: 30.0%
  initialization: 66.1%
  loop: 68.1%
  declarations: 26.3%
  performance: 60.0%
  strict: 20.0%
  parameters: 88.9%
  mixed-code: 22.2%
  function_calls: 90.5%
  exception: 64.4%
  multiple-constraints: 60.0%
  required-methods: 54.5%
  parameterized-role-methods: 54.5%
  minus: 90.5%
  glob: 64.4%
  edge-cases: 14.3%
  file_handle: 64.4%
  code_references: 44.4%
  context: 14.3%
  backward-compatibility: 27.8%
  assignment: 82.3%
  defined_or: 90.6%
  equality: 90.6%
  outer: 64.4%
  low_precedence: 90.6%
  array: 80.3%
  parallel: 64.4%
  maybe-types: 33.3%
  import: 20.0%
  complex-expressions: 60.0%
  switch: 55.9%
  dynamic: 20.0%
  comprehensive: 40.0%
  short_circuit: 90.6%
  less_than: 90.6%
  expressions: 18.8%
  unless: 67.7%
  method-signatures: 56.4%
  prototypes: 50.0%
  edge_cases: 37.5%
  BUILD-method: 60.0%
  multiple-inheritance: 60.0%
  do_while: 66.1%
  mixed-typing: 33.3%
  matching: 89.5%
  eval: 63.9%
  formatting: 53.8%
  bare_block: 66.1%
  use: 27.3%
  role-composition: 60.0%
  workers: 64.4%
  closure: 66.1%
  methods: 50.0%
  conflict-resolution: 60.0%
  nested-parameters: 88.9%
  protected-methods: 60.0%
  references: 86.5%
  naming: 14.3%
